2450,420
2500
wall,15,405
wall,45,405
wall,75,405
wall,105,405
wall,135,405
wall,165,405
wall,195,405
wall,225,405
wall,255,405
wall,285,405
wall,315,405
wall,345,405
wall,375,405
wall,405,405
wall,435,405
wall,465,405
wall,495,405
wall,525,405
wall,555,405
wall,585,405
wall,615,405
wall,645,405
wall,675,405
wall,705,405
wall,735,405
wall,765,405
wall,795,405
wall,825,405
wall,855,405
wall,1005,405
wall,1035,405
wall,1065,405
wall,1095,405
wall,1125,405
wall,1155,405
wall,1185,405
wall,1215,405
wall,1245,405
wall,1275,405
wall,1545,405
wall,1575,405
wall,1605,405
wall,1635,405
wall,1665,405
wall,1695,405
wall,1695,285
wall,1830,14.999999999999998
wall,1860,15
wall,1890,15
wall,1920,15
wall,1950,15
wall,1980,15
wall,2010,15
wall,2040,15
wall,2100,15.000000000000002
wall,2130,15
wall,2160,15
wall,2190,15
wall,2220,15
wall,2250,15
wall,2280,15
wall,2310,14.999999999999998
wall,2340,15
wall,2370,15
wall,2370,405
wall,2400,15
wall,2400,405
wall,2430,15
wall,2430,405
wall,2310,285
wall,15.000000000000002,45
wall,2430,45
wall,15,75
wall,2430,75
wall,15,105
wall,2430,105
wall,15,135
wall,2430,135
wall,15,165
wall,2430,165
wall,15,195
wall,2430,195
wall,14.999999999999998,225
wall,2430,225
wall,15,255
wall,2430,255
wall,15,285
wall,2430,285
wall,15,315
wall,2430,315
wall,15,345
wall,2430,345
wall,15,375
wall,0,405
wall,435,375
wall,645,375
wall,645,345
wall,975,405
wall,855,315
wall,855,345
wall,855,375
wall,975,375
wall,975,345
wall,945,375
wall,945,315
wall,1005,375
wall,945,345
wall,945,405
wall,1455,315
wall,1455,285
wall,1455,255
wall,1455,225
wall,1455,195
wall,1455,165
wall,1455,135
wall,1455,105
wall,1455,75
wall,1455,45
wall,1455,15.000000000000002
wall,1485,15.000000000000002
wall,1515,15
wall,1545,15
wall,1575,14.999999999999998
wall,1605,15
wall,1650,15
wall,1680,14.999999999999998
wall,1710,15
wall,1740,15
wall,1770,15
wall,1800,15
wall,1485,285
wall,1515,285
wall,1545,285
wall,1575,285
wall,1665,375
wall,1695,375
wall,1695,315
wall,1665,345
wall,1695,255
wall,1695,225
wall,1695,195
wall,1560,165
wall,1665,135
wall,1635,135
wall,1695,165
wall,1695,135
wall,1725,135
wall,1920,135
wall,1950,135
wall,1980,135
wall,1905,165
wall,1905,195
wall,1905,285
wall,1905,225
wall,1905,255
wall,2010,135
wall,2040,135
wall,2070,135
wall,2100,135
wall,2130,135
wall,2160,135
wall,2190,135
wall,2220,135
wall,2250,135
wall,2280,135
wall,2370,285
wall,2340,285
wall,2400,285
wall,15,15
wall,825,375
wall,825,345
wall,795,375
wall,1305,405
wall,1485,405
wall,1455,405
wall,1515,405
wall,1635,15
wall,1485,225
wall,1485,255
wall,2070,15
wall,2310,135
wall,2340,135
wall,2370,135
wall,2400,135
wall,2430,375
wall,2340,405
wall,2310,405
wall,2280,405
wall,2250,405
wall,2220,405
wall,2190,405
wall,2160,405
wall,2130,405
wall,2100,405
wall,2070,405
wall,2040,405
wall,2010,405
wall,1980,405
wall,1695,345
wall,2280,285
wall,2250,285
wall,2220,285
wall,2190,285
wall,2160,285
wall,2130,285
wall,1905,315
wall,1785,405
wall,1815,405
wall,1995,345
wall,1755,135
wall,1890,135
wall,1845,135
wall,1860,135
wall,1905,405
wall,1935,405
wall,1965,405
wall,2100,285
wall,2070,285
wall,2400,165
wall,2400,195
wall,2400,255
wall,2370,270
shocker,915,405
shocker,885,405
shocker,1485,315
shocker,1515,315
shocker,1545,315
shocker,1755,405
shocker,1575,315
shocker,1335,405
shocker,1365,405
shocker,1395,405
shocker,1425,405
shocker,2400,45
shocker,2400,75
shocker,2400,105
shocker,2400,375
shocker,2400,345
shocker,2400,315
shocker,1845,405
shocker,1725,405
shocker,1875,405
checkpoint,1260,375
exit,2400,225
player,37.5,382.5
